epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.751,3.15682,4.69616,1.48382,0,0,0,0,2.54116,4.30603,1.08258,6.668e-05,6.668e-05,6.668e-05
2,134.265,2.91519,4.28801,1.37485,0.00335,0.03819,0.0018,0.00064,2.51832,4.20494,1.03055,0.000147059,0.000147059,0.000147059
3,187.198,2.71792,3.57472,1.192,0.00693,0.0825,0.00421,0.00153,2.6505,4.08605,1.02446,0.000224138,0.000224138,0.000224138
4,241.513,2.80211,2.86584,1.15132,0.00806,0.09941,0.0047,0.00167,2.58698,3.94976,1.00177,0.000297916,0.000297916,0.000297916
5,293.826,2.55815,2.61778,1.10129,0.0081,0.09692,0.0047,0.00198,2.4799,3.77159,0.98817,0.000368394,0.000368394,0.000368394
6,353.245,2.57431,2.49111,1.1223,0.00847,0.09925,0.00497,0.00198,2.44391,3.65281,0.99808,0.00043557,0.00043557,0.00043557
7,402.858,2.61822,2.3354,1.10898,0.01305,0.1569,0.04221,0.01963,2.47101,3.45711,1.02964,0.000499447,0.000499447,0.000499447
8,457.478,2.50825,2.19352,1.09479,0.01135,0.12063,0.05364,0.02553,2.47886,3.36104,1.03911,0.000560022,0.000560022,0.000560022
9,517.812,2.51142,2.2737,1.13168,0.01632,0.17454,0.09053,0.03744,2.43294,3.22456,1.0189,0.000617297,0.000617297,0.000617297
10,576.426,2.5173,2.22072,1.07858,0.0193,0.2105,0.11014,0.04269,2.32482,3.20273,0.9864,0.000671271,0.000671271,0.000671271
11,628.208,2.42907,2.28623,1.09611,0.02262,0.27567,0.1212,0.03708,2.42533,3.20617,0.98435,0.000721944,0.000721944,0.000721944
12,696.81,2.42563,2.11634,1.11099,0.02793,0.37301,0.16692,0.05777,2.32974,2.99237,0.97493,0.000769317,0.000769317,0.000769317
13,760.773,2.40066,2.09849,1.10004,0.02639,0.35723,0.14938,0.05189,2.38952,2.99864,0.9823,0.000813389,0.000813389,0.000813389
14,841.361,2.37279,2.12477,1.10171,0.02399,0.3261,0.09616,0.03134,2.4038,3.10633,0.98207,0.000854161,0.000854161,0.000854161
15,898.119,2.5478,2.06568,1.11349,0.02794,0.37934,0.13202,0.04237,2.32122,2.98691,0.97175,0.000891632,0.000891632,0.000891632
16,956.43,2.37928,1.97878,1.08827,0.0321,0.44446,0.13764,0.04367,2.33672,2.88578,0.97811,0.000925802,0.000925802,0.000925802
17,1029.58,2.37763,2.07887,1.13876,0.25671,0.14916,0.17435,0.05359,2.36552,2.60042,0.99218,0.000956671,0.000956671,0.000956671
18,1083.8,2.37497,1.94383,1.08661,0.27826,0.13365,0.18119,0.05625,2.31013,2.51156,0.97992,0.00098424,0.00098424,0.00098424
19,1136.19,2.39673,1.98166,1.09404,0.27454,0.13365,0.18882,0.05857,2.30909,2.50876,0.96744,0.00100851,0.00100851,0.00100851
20,1185.73,2.38754,2.16107,1.10479,0.34115,0.16661,0.18299,0.058,2.39038,2.3981,0.98323,0.00102948,0.00102948,0.00102948
